,Theta
502,-6.900747989697913e-05
503,0.04424898287177724
504,0.01378733033669176
505,-0.016930773113822243
506,0.004392357412479808
507,0.02621608784166961
508,0.014105642627005652
509,0.06864279475588896
510,-0.07190164469582026
511,-0.06930480514766993
512,-0.00032332221626045845
513,0.015357988607238204
514,-0.01995078728863373
515,0.023677187682506647
516,-0.008215008227477278
517,0.0008106621848527445
518,-0.03229279362748193
519,0.012659832461902581
520,-0.00010275331008923545
521,0.028986518172523817
522,0.00022879468823667972
523,-0.0020565691900976445
524,-0.020853471403082476
525,0.00973057485617475
526,-0.034911230590663186
527,-0.006505684284512915
528,-0.0451844140371058
529,0.02108619093725049
530,0.00018839982487437959
531,0.01640380613808643
532,-0.007616925856081961
533,-0.006779044492967352
534,-0.007611205826921828
535,0.002838038751458113
536,1.029418803342121e-05
537,-0.014672113911973577
538,0.0006258315639348065
539,-0.0002384452009112081
540,0.0014026435593648225
541,0.007551688794194388
542,2.5207293618123512e-05
543,0.008375038676138705
544,0.054629359829800946
545,0.02913382641088722
546,-0.005433857776089036
547,0.009627444882725612
548,-0.00025098560772135833
549,0.03221655939025572
550,-0.01461087913475397
551,0.010604996598377882
552,0.0053218443619872215
553,0.00882856343469207
554,0.0071732853734180575
555,0.0030848424191509353
556,-0.0007807340742538947
557,0.015409564402523404
558,0.002526084229674071
559,-0.003165547138663215
560,3.0312533841325804e-05
561,-0.019290512171955015
562,0.001373471238486709
563,0.0012410481617323745
564,-0.008370730563430902
565,0.0022807297185473948
566,0.0030137014338548073
567,-0.01322432023334542
568,0.002472292278354396
569,-0.008711192166166252
570,0.005261079081795855
571,-0.027439245061172027
572,0.012347317993288701
573,0.011032450409236578
574,0.004213565309680941
575,0.0015883731022205182
576,0.023667383963562577
577,0.00014494422457891863
578,-0.01447917532443827
579,0.018577917551919468
580,0.004796881555281518
581,-0.011076856692878665
582,0.0031295330613526607
583,0.0032145726031793187
584,-0.02623673677633862
585,-0.012429210294277895
586,0.001531628416693631
587,0.004498553509510323
588,0.1470578418544338
589,-0.005756103393124138
590,0.0027706840798164952
591,0.0008576333617753758
592,0.004531808625398611
593,-0.029759362731828717
594,0.003690760382134968
595,0.001939879636257081
596,0.003897986248339776
597,0.0011132006045886259
598,-0.0004213544997560235
599,0.002153739530017942
600,0.009082714943690343
601,-0.015701879370404077
602,0.0064169323439863795
603,0.014859115694511071
604,0.003331552337022508
605,-0.0017593403067498897
606,0.09045621456334885
607,0.014118127923963499
608,0.008472293161661763
609,0.01134026851090657
610,0.011138630291378017
611,0.008369643176831093
612,-0.010504257730638088
613,0.0011403807343319148
614,0.0031012832602659883
615,0.0022870333246416377
616,-0.005118558881870445
617,0.00030128608557059033
618,-0.003928705834981374
619,-0.0006735679838408741
620,0.012759035107672883
621,0.01996170879230509
622,0.016647463028236335
623,0.016508457641433976
624,0.017185340387854353
625,-0.001953701816628038
626,-0.029738779621509986
627,-0.0008787363332937925
